,INDEX,BRAID,MODEL,DONE,N_STEPS,STEPS
0,0,"[-2, -2, -2, -2, -2, -2, -2, -2, 1, -1, 2, 1, 1, -1, -1, 1, 1, 2, -2, 2]",UN,True,4,"[(0, 1, 2, 11)]"
1,1,"[-2, -2, -2, -2, -2, -2, -2, -1, -1, 1, -1, -2, 1, 1, 1, -2, -2, 1, 2, 2]",UN,True,7,"[(0, 1, 2, 7, 8, 12, 13)]"
2,2,"[-2, -2, -2, -2, -2, -2, -2, 2, -2, 2, 2, 1, -2, 1, -1, -1, -1, 1, -2, 1]",UN,True,3,"[(0, 1, 2)]"
3,3,"[-2, -2, -2, -2, -2, -2, -2, 2, 1, -2, -1, -1, -2, 1, -2, 1, 2, 2, -1, 2]",UN,True,7,"[(0, 1, 2, 3, 8, 12, 16)]"
4,4,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2, -2, -1, -1, -1, 2, 2, -1, 2, -2, -2]",UN,True,7,"[(0, 1, 2, 3, 8, 11, 16)]"
5,5,"[-2, -2, -2, -2, -2, -2, 1, -2, 1, -1, -2, -1, 2, -2, 1, 1, 1, -2, 2, -1]",UN,True,5,"[(0, 1, 2, 6, 7)]"
6,6,"[-2, -2, -2, -2, -2, -2, 1, 1, 2, 1, 1, -2, 1, 1, -1, -2, -2, 2, -2, 1]",UN,True,5,"[(0, 1, 2, 6, 12)]"
7,7,"[-2, -2, -2, -2, -2, -2, 2, -2, -1, -1, 2, -1, 2, 1, -1, -2, 1, 2, 1, -1]",UN,True,3,"[(0, 1, 8)]"
8,8,"[-2, -2, -2, -2, -2, -2, 2, 2, -2, 2, -2, -1, 2, 1, 1, 1, -2, 1, -2, -2]",UN,True,4,"[(0, 1, 11, 17)]"
9,9,"[-2, -2, -2, -2, -2, -1, -2, 2, 1, 1, -1, 2, -2, 2, 1, 1, 2, -1, 1, 2]",UN,True,2,"[(0, 7)]"
